,0,1,2
0,"Observatory Lane, Rathmines",280.0,123.0
1,Grace Road,233.125,142.875
2,Sheikh Zayed Stadium,246.6,209.4
3,Sheikh Kamal International Cricket Stadium,159.5,113.0
4,Nahar Singh Stadium,226.0,230.0
5,Rawalpindi Cricket Stadium,265.0,266.0
6,Jaffery Sports Club Ground,250.0,92.0
7,Keenan Stadium,223.0,227.0
8,Gaddafi Stadium,293.714285714,209.285714286
9,Queenstown Events Centre,147.2,84.6
10,Madhavrao Scindia Cricket Ground,352.666666667,297.333333333
11,Jade Stadium,214.333333333,207.0
12,Nondescripts Cricket Club Ground,212.2,146.0
13,Sheikh Abu Naser Stadium,245.5,166.5
14,Brabourne Stadium,207.866666667,170.533333333
15,Edgbaston,243.142857143,171.666666667
16,"Antigua Recreation Ground, St John's",196.5,149.0
17,Headingley,300.222222222,270.222222222
18,Maharashtra Cricket Association Stadium,327.0,294.0
19,"Punjab Cricket Association Stadium, Mohali",277.0,236.857142857
20,"Darren Sammy National Cricket Stadium, Gros Islet",173.5,143.5
21,Khettarama Stadium,268.0,131.0
22,Sophia Gardens,223.111111111,185.888888889
23,Manuka Oval,326.444444444,237.888888889
24,Nehru Stadium,258.285714286,205.571428571
25,OUTsurance Oval,343.5,232.0
26,New Wanderers Stadium,266.105263158,231.052631579
27,North-West University No1 Ground,179.333333333,141.0
28,Sharjah Cricket Stadium,232.826086957,194.217391304
29,Kinrara Academy Oval,237.375,161.625
30,Holkar Cricket Stadium,332.5,245.0
31,Buffalo Park,198.5,181.666666667
32,County Ground,220.441176471,183.882352941
33,M Chinnaswamy Stadium,269.416666667,234.333333333
34,Zohur Ahmed Chowdhury Stadium,183.0,170.0
35,The Rose Bowl,280.428571429,232.428571429
36,Sawai Mansingh Stadium,241.8,230.0
37,"Kensington Oval, Bridgetown",211.875,163.625
38,Willowmoore Park,235.923076923,173.538461538
39,Seddon Park,264.5,232.444444444
40,Sheikhupura Stadium,181.0,187.0
41,Greater Noida Sports Complex Ground,268.6,257.2
42,Feroz Shah Kotla,214.818181818,178.909090909
43,Rangiri Dambulla International Stadium,221.363636364,171.484848485
44,Khan Shaheb Osman Ali Stadium,274.666666667,256.0
45,Old Trafford,219.444444444,194.333333333
46,Sharjah Cricket Association Stadium,272.0,206.0
47,"Sabina Park, Kingston",238.333333333,202.111111111
48,YMCA Cricket Club,248.0,159.0
49,Cambusdoon New Ground,161.666666667,125.666666667
50,Colombo Cricket Club Ground,193.666666667,137.333333333
51,Toronto Cricket,175.0,163.0
52,Southend Club Cricket Stadium,123.0,124.0
53,Indian Petrochemicals Corporation Limited Sports Complex Ground,341.0,181.0
54,Dubai Sports City Cricket Stadium,187.5,189.5
55,"Windsor Park, Roseau",261.75,232.75
56,National Stadium,286.9375,217.8125
57,International Sports Stadium,260.0,217.0
58,"National Cricket Stadium, St George's",238.916666667,183.75
59,Sinhalese Sports Club Ground,189.3,134.4
60,Marrara Cricket Ground,189.666666667,105.666666667
61,Boland Park,219.0,139.833333333
62,Bellerive Oval,260.25,227.9375
63,"Vidarbha Cricket Association Stadium, Jamtha",299.571428571,262.0
64,Peter Burge Oval,155.0,157.0
65,Sir Paul Getty's Ground,152.0,124.0
66,Bay Oval,243.375,231.0
67,Louth Cricket Club,227.0,116.0
68,Bert Sutcliffe Oval,249.2,198.4
69,Bradman Oval,247.5,174.5
70,Narayanganj Osmani Stadium,187.0,155.0
71,Titwood,203.0,212.0
72,"County Ground, New Road",309.5,159.0
73,Galle International Stadium,235.5,240.0
74,Providence Stadium,228.894736842,194.0
75,"Niaz Stadium, Hyderabad",238.0,239.0
76,Malahide,242.75,143.5
77,"Grange Cricket Club Ground, Raeburn Place",239.111111111,168.555555556
78,Vidarbha Cricket Association Ground,317.0,299.0
79,Chittagong Divisional Stadium,227.333333333,202.333333333
80,SuperSport Park,257.846153846,203.653846154
81,Adelaide Oval,240.791666667,225.0
82,Eden Park No 2,275.0,276.0
83,ICC Global Cricket Academy,233.0,205.333333333
84,Harare Sports Club,226.727272727,198.218181818
85,P Saravanamuttu Stadium,234.0,164.0
86,"Sardar Patel Stadium, Motera",242.454545455,205.818181818
87,Chevrolet Park,290.5,184.5
88,Iqbal Stadium,204.25,190.25
89,Diamond Oval,222.0,226.0
90,"Beausejour Stadium, Gros Islet",225.0,186.222222222
91,Captain Roop Singh Stadium,328.0,254.0
92,Docklands Stadium,263.0,193.5
93,Arbab Niaz Stadium,328.0,311.0
94,Cobham Oval (New),372.0,231.0
95,Pallekele International Cricket Stadium,242.611111111,197.0
96,Goodyear Park,201.0,202.0
97,Green Park,275.0,252.5
98,De Beers Diamond Oval,289.0,278.0
99,Newlands,264.5,214.083333333
100,"Rajiv Gandhi International Stadium, Uppal",295.5,252.25
101,Saurashtra Cricket Association Stadium,297.5,284.0
102,Haslegrave Ground,156.0,157.0
103,Mangaung Oval,399.0,250.0
104,North Marine Road Ground,203.5,177.0
105,Basin Reserve,280.0,210.0
106,JSCA International Stadium Complex,249.0,178.25
107,Melbourne Cricket Ground,259.068965517,220.620689655
108,Dubai International Cricket Stadium,236.411764706,218.705882353
109,Barabati Stadium,292.8,257.8
110,Reliance Stadium,221.333333333,222.0
111,Boland Bank Park,160.0,163.0
112,Hagley Oval,269.8,208.4
113,Shaheed Chandu Stadium,191.75,186.0
114,Shere Bangla National Stadium,232.659090909,203.340909091
115,Sector 16 Stadium,291.0,283.0
116,AMI Stadium,292.0,260.25
117,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",245.7,180.55
118,"Arnos Vale Ground, Kingstown",199.714285714,160.428571429
119,Multan Cricket Stadium,216.4,210.8
120,Westpac Stadium,235.666666667,185.944444444
